200	员	200217	55.778231437
201	解	200090	55.8816349746
202	水	198933	55.9844405918
203	名	198481	56.0870126221
204	真	198416	56.1895510614
205	论	197165	56.2914430025
206	处	194237	56.3918217967
207	走	193619	56.4918812177
208	义	193507	56.5918827587
209	各	193435	56.6918470913
210	入	192433	56.7912936051
211	几	192355	56.8906998097
212	口	191936	56.9898894813
213	认	191866	57.0890429779
214	条	191280	57.1878936385
215	平	191267	57.2867375808
216	系	190769	57.3853241642
217	气	190687	57.4838683711
218	题	189921	57.5820167207
219	活	189876	57.6801418149
220	尔	189785	57.7782198817
221	更	187378	57.8750540467
222	别	186634	57.9715037235
223	打	186146	58.0677012092
224	女	185188	58.1634036147
225	变	185121	58.2590713956
226	四	184874	58.3546115306
227	神	184554	58.4499862943
228	总	184470	58.5453176481
229	何	184335	58.6405792359
230	电	183834	58.7355819144
231	数	183312	58.830314831
232	安	183210	58.9249950355
233	少	183018	59.0195760173
234	报	182411	59.1138433105
235	才	181725	59.2077560891
236	结	181674	59.3016425116
237	反	181385	59.3953795833
238	受	180928	59.4888804841
239	目	180827	59.5823291897
240	太	180490	59.6756037386
241	量	180008	59.7686291971
242	再	179607	59.8614474248
243	感	178383	59.9536331075
244	建	178289	60.0457702124
245	务	176085	60.1367683228
246	做	175580	60.2275054568
247	接	175473	60.3181872947
248	必	174963	60.4086055722
249	场	173632	60.4983360087
250	件	172895	60.5876855746
251	计	171949	60.6765462617
252	管	170746	60.7647852563
253	期	169806	60.8525384729
254	市	169522	60.9401449225
255	直	169439	61.0277084789
256	德	168917	61.1150022735
257	资	168890	61.2022821149
258	命	168358	61.2892870266
259	山	168142	61.3761803127
260	金	167912	61.4629547382
261	指	166865	61.5491880897
262	克	166044	61.6349971606
263	许	166034	61.7208010637
264	统	165820	61.8064943747
265	区	164775	61.8916476453
266	保	164424	61.9766195243
267	至	163582	62.0611562702
268	队	162938	62.1453602064
269	形	162049	62.2291047207
270	社	159527	62.3115459029
271	便	159479	62.3939622794
272	空	158539	62.4758928778
273	决	157959	62.5575237409
274	治	156904	62.6386093957
275	展	156759	62.7196201166
276	马	155772	62.8001207706
277	科	155750	62.8806100553
278	司	155229	62.960830095
279	五	154316	63.0405783099
280	基	153462	63.1198851902
281	眼	152079	63.1984773567
282	书	151357	63.2766964043
283	非	149915	63.3541702478
284	则	149042	63.4311929378
285	听	148988	63.5081877215
286	白	148728	63.585048141
287	却	148679	63.661883238
288	界	148438	63.7385937898
289	达	147907	63.8150299287
290	光	147639	63.8913275692
291	放	147600	63.9676050551
292	强	146665	64.0433993469
293	即	146459	64.1190871809
294	像	145291	64.1941714099
295	难	144597	64.26889699
296	且	144597	64.3436225702
297	权	144506	64.4183011228
298	思	144503	64.4929781251
299	王	143948	64.5673683117
300	象	143453	64.6415026896
301	完	143120	64.7154649781
302	设	142742	64.7892319218
303	式	142292	64.8627663122
304	色	142231	64.9362691787
305	路	141812	65.0095555122
306	记	139501	65.0816475552
307	南	139078	65.1535209982
308	品	138528	65.2251102093
309	住	138503	65.2966865008
310	告	138285	65.3681501332
311	类	138280	65.4396111816
312	求	138216	65.5110391558
313	据	137990	65.5823503365
314	程	136962	65.6531302621
315	北	136939	65.7238983017
316	边	136277	65.7943242295
317	死	136194	65.8647072641
318	张	136087	65.9350350027
319	该	136053	66.0053451707
320	交	135727	66.0754868666
321	规	134528	66.1450089372
322	万	134220	66.214371838
323	取	134102	66.2836737581
324	拉	134051	66.3529493222
325	格	133986	66.4221912953
326	望	133145	66.490998652
327	觉	132041	66.559235478
328	术	131634	66.6272619724
329	领	130993	66.6949572076
330	共	128824	66.7615315357
331	确	128417	66.8278955324
332	传	128186	66.8941401517
333	师	128086	66.9603330924
334	观	127796	67.0263761655
335	清	127716	67.0923778957
336	今	126624	67.1578152966
337	切	126391	67.2231322866
338	院	126115	67.2883066438
339	让	125660	67.3532458639
340	识	125220	67.4179576984
