id,frequency,frequency_percent,characters
227,184554,58.4499862943,神
228,184470,58.5453176481,总
229,184335,58.6405792359,何
230,183834,58.7355819144,电
231,183312,58.830314831,数
232,183210,58.9249950355,安
233,183018,59.0195760173,少
234,182411,59.1138433105,报
235,181725,59.2077560891,才
236,181674,59.3016425116,结
237,181385,59.3953795833,反
238,180928,59.4888804841,受
239,180827,59.5823291897,目
240,180490,59.6756037386,太
241,180008,59.7686291971,量
242,179607,59.8614474248,再
243,178383,59.9536331075,感
244,178289,60.0457702124,建
245,176085,60.1367683228,务
246,175580,60.2275054568,做
247,175473,60.3181872947,接
248,174963,60.4086055722,必
249,173632,60.4983360087,场
250,172895,60.5876855746,件
251,171949,60.6765462617,计
252,170746,60.7647852563,管
253,169806,60.8525384729,期
254,169522,60.9401449225,市
255,169439,61.0277084789,直
256,168917,61.1150022735,德
257,168890,61.2022821149,资
258,168358,61.2892870266,命
259,168142,61.3761803127,山
260,167912,61.4629547382,金
261,166865,61.5491880897,指
262,166044,61.6349971606,克
263,166034,61.7208010637,许
264,165820,61.8064943747,统
265,164775,61.8916476453,区
266,164424,61.9766195243,保
267,163582,62.0611562702,至
268,162938,62.1453602064,队
269,162049,62.2291047207,形
270,159527,62.3115459029,社
271,159479,62.3939622794,便
272,158539,62.4758928778,空
273,157959,62.5575237409,决
274,156904,62.6386093957,治
275,156759,62.7196201166,展
276,155772,62.8001207706,马
277,155750,62.8806100553,科
278,155229,62.960830095,司
279,154316,63.0405783099,五
280,153462,63.1198851902,基
281,152079,63.1984773567,眼
282,151357,63.2766964043,书
283,149915,63.3541702478,非
284,149042,63.4311929378,则
285,148988,63.5081877215,听
286,148728,63.585048141,白
287,148679,63.661883238,却
288,148438,63.7385937898,界
289,147907,63.8150299287,达
290,147639,63.8913275692,光
291,147600,63.9676050551,放
292,146665,64.0433993469,强
293,146459,64.1190871809,即
294,145291,64.1941714099,像
295,144597,64.26889699,难
296,144597,64.3436225702,且
297,144506,64.4183011228,权
298,144503,64.4929781251,思
299,143948,64.5673683117,王
300,143453,64.6415026896,象
301,143120,64.7154649781,完
302,142742,64.7892319218,设
303,142292,64.8627663122,式
304,142231,64.9362691787,色
305,141812,65.0095555122,路
306,139501,65.0816475552,记
307,139078,65.1535209982,南
308,138528,65.2251102093,品
309,138503,65.2966865008,住
310,138285,65.3681501332,告
311,138280,65.4396111816,类
312,138216,65.5110391558,求
313,137990,65.5823503365,据
314,136962,65.6531302621,程
315,136939,65.7238983017,北
316,136277,65.7943242295,边
317,136194,65.8647072641,死
318,136087,65.9350350027,张
319,136053,66.0053451707,该
320,135727,66.0754868666,交
321,134528,66.1450089372,规
322,134220,66.214371838,万
323,134102,66.2836737581,取
324,134051,66.3529493222,拉
325,133986,66.4221912953,格
326,133145,66.490998652,望
327,132041,66.559235478,觉
328,131634,66.6272619724,术
329,130993,66.6949572076,领
330,128824,66.7615315357,共
331,128417,66.8278955324,确
332,128186,66.8941401517,传
333,128086,66.9603330924,师
334,127796,67.0263761655,观
335,127716,67.0923778957,清
336,126624,67.1578152966,今
337,126391,67.2231322866,切
338,126115,67.2883066438,院
339,125660,67.3532458639,让
340,125220,67.4179576984,识
341,124865,67.4824860743,候
342,124619,67.546887321,带
343,124463,67.6112079492,导
344,124420,67.6755063556,争
345,123903,67.7395375842,运
346,122902,67.8030515108,笑
347,122290,67.8662491649,飞
348,121803,67.9291951447,风
349,121267,67.9918641276,步
350,121023,68.0544070149,改
351,120897,68.1168847874,收
352,120778,68.1793010624,根
353,120564,68.2416067453,干
354,120496,68.3038772869,造
355,120308,68.3660506729,言
356,120301,68.4282204414,联
357,119990,68.4902294897,持
358,119734,68.552106241,组
359,119594,68.6139106424,每
360,119161,68.6754912758,济
361,118824,68.7368977527,车
362,118451,68.7981114687,亲
363,117736,68.8589556833,极
364,117675,68.919768374,林
365,116961,68.9802120801,服
366,116923,69.0406361484,快
367,116904,69.1010503978,办
368,116810,69.1614160694,议
369,116539,69.2216416922,往
370,116488,69.281840959,元
371,116193,69.3418877741,英
372,115704,69.4016818814,士
373,115610,69.4614274108,证
374,115441,69.5210856035,近
375,115346,69.5806947016,失
376,115087,69.6401699524,转
377,114784,69.6994886173,夫
378,114570,69.7586966902,令
379,113877,69.817546631,准
380,113652,69.8762802951,布
381,112987,69.9346702971,始
382,112294,69.992702167,怎
383,112185,70.0506777074,呢
384,110970,70.1080253538,存
385,110491,70.1651254601,未
386,110455,70.2222069621,远
387,110131,70.2791210258,叫
388,109362,70.3356376817,台
389,109359,70.3921527872,单
390,108862,70.4484110506,影
391,108811,70.5046429579,具
392,108376,70.5606500636,罗
393,108218,70.6165755173,字
394,108167,70.672474615,爱
395,107513,70.7280357352,击
396,107397,70.7835369083,流
397,107114,70.8388918312,备
398,106982,70.8941785385,兵
399,106814,70.9493784258,连
400,106379,71.0043535117,调
401,105924,71.0590934603,深
402,105406,71.1135657142,商
403,105293,71.1679795714,算
404,104560,71.222014625,质
405,104151,71.2758383136,团
406,104019,71.3295937865,集
407,103938,71.3833073998,百
408,103832,71.436966234,需
409,103634,71.4905227446,价
410,103367,71.5439412736,花
411,103165,71.597255412,党
412,103158,71.650565933,华
413,102833,71.7037084987,城
414,102149,71.7564975834,石
415,102018,71.8092189693,级
416,100910,71.8613677572,整
417,100771,71.913444712,府
418,100744,71.9655077136,离
419,100680,72.017537641,况
420,100251,72.0693458675,亚
421,100226,72.1211411744,请
422,99790,72.172711163,技
423,99412,72.2240858068,际
424,99148,72.2753240194,约
425,98963,72.3264666267,示
426,98822,72.3775363672,复
427,98692,72.4285389257,病
428,98447,72.4794148719,息
429,98377,72.5302546431,究
430,98261,72.5810344672,线
431,98057,72.6317088672,似
432,97897,72.6823005815,官
433,97760,72.7328214962,火
434,97235,72.7830710988,断
435,97135,72.8332690229,精
436,96954,72.8833734088,满
437,96814,72.9334054448,支
438,96326,72.9831852897,视
439,96263,73.0329325771,消
440,95657,73.0823666928,越
441,95444,73.1316907332,器
442,95407,73.1809956525,容
443,95020,73.230100576,照
444,94903,73.2791450356,须
445,94580,73.3280225737,九
446,93869,73.3765326775,增
447,93761,73.4249869685,研
448,93710,73.4734149035,写
449,93638,73.5218056299,称
450,93453,73.5701007511,企
451,92700,73.6180067331,八
452,92052,73.6655778383,功
